============================================================================================================================================
A股ETF量化交易系统 - 回测交易报告
回测期间: 2020-01-01 至 2025-12-31
总交易数: 632 笔
============================================================================================================================================

交易日期         股票代码       股票名称            买卖类型     价格                     数量            交易金额              收益
2020-05-06   159949     恒生ETF           卖出       4.9849                953         4750.66         1681.40
2020-05-06   159915     创业板ETF          买入       2.1839               4150         9063.02 -
2020-05-06   516160     新能源ETF          卖出       2.8183               5640        15895.44         2388.35
2020-05-13   159949     恒生ETF           卖出       5.1760                724         3747.42         1415.69
2020-05-13   159915     创业板ETF          卖出       2.2195                125          277.44           -8.15
2020-05-13   516160     新能源ETF          卖出       2.9359               1506         4421.53          814.85
2020-05-20   159949     恒生ETF           买入       4.9773               1967         9790.30 -
2020-05-20   159915     创业板ETF          卖出       2.5018               8634        21600.19         1873.61
2020-05-20   516160     新能源ETF          买入       2.9142               1499         4368.35 -
2020-05-27   159949     恒生ETF           买入       5.0597                 93          470.55 -
2020-05-27   159915     创业板ETF          卖出       2.5938               1323         3431.56          408.83
2020-05-27   516160     新能源ETF          卖出       3.0738               2254         6928.40         1502.57
2020-06-03   159949     恒生ETF           卖出       5.3675               1486         7976.18         3042.24
2020-06-03   159915     创业板ETF          买入       2.5007               4561        11405.85 -
2020-06-03   516160     新能源ETF          卖出       3.3579               4064        13646.55         3863.69
2020-06-10   159949     恒生ETF           买入       5.4640                 73          398.87 -
2020-06-10   159915     创业板ETF          买入       2.5256                655         1654.28 -
2020-06-10   516160     新能源ETF          卖出       3.6259               3248        11776.89         3958.31
2020-06-17   159949     恒生ETF           买入       4.7599               3817        18168.70 -
2020-06-17   159915     创业板ETF          卖出       2.5232               2845         7178.48          638.60
2020-06-17   516160     新能源ETF          买入       3.3715               2207         7440.90 -
2020-06-24   159949     恒生ETF           买入       4.3542               2266         9866.69 -
2020-06-24   159915     创业板ETF          买入       2.3821               2176         5183.50 -
2020-06-24   516160     新能源ETF          买入       3.2344                515         1665.72 -
2020-07-01   159949     恒生ETF           买入       4.2652                217          925.54 -
2020-07-01   159915     创业板ETF          卖出       2.4276               2889         7013.20          365.71
2020-07-01   516160     新能源ETF          买入       2.9389               4717        13862.63 -
2020-07-08   159949     恒生ETF           买入       4.2635                114          486.03 -
2020-07-08   159915     创业板ETF          卖出       2.6312               5885        15484.40         1943.23
2020-07-08   516160     新能源ETF          买入       2.7192               5086        13829.73 -
2020-07-15   159949     恒生ETF           卖出       4.5246               1724         7800.37         1730.19
2020-07-15   159915     创业板ETF          买入       2.6244               1717         4506.08 -
2020-07-15   516160     新能源ETF          卖出       2.8608               2203         6302.43          777.83
2020-07-22   159949     恒生ETF           卖出       4.8030               1801         8650.19         2308.89
2020-07-22   159915     创业板ETF          卖出       2.6971               1179         3179.84          458.16
2020-07-22   516160     新能源ETF          买入       2.8267               1765         4989.11 -
2020-07-29   159949     恒生ETF           买入       4.4653               2428        10841.75 -
2020-07-29   159915     创业板ETF          卖出       2.9913               8001        23933.20         5463.19
2020-07-29   516160     新能源ETF          买入       2.4911               7905        19692.45 -
2020-08-05   159949     恒生ETF           卖出       4.9471               3755        18576.29         5141.31
2020-08-05   159915     创业板ETF          买入       2.9953                470         1407.81 -
2020-08-05   516160     新能源ETF          买入       2.3206               5928        13756.72 -
2020-08-12   159949     恒生ETF           卖出       5.3306               1647         8779.48         2886.69
2020-08-12   159915     创业板ETF          卖出       3.2812               4087        13410.15         3955.28
2020-08-12   516160     新能源ETF          买入       2.2502              84376       189866.56 -
2020-08-19   159949     恒生ETF           买入       4.7990               2527        12126.99 -
2020-08-19   159915     创业板ETF          卖出       3.2193               1099         3538.04          995.61
2020-08-19   516160     新能源ETF          买入       2.0431              89542       182947.26 -
2020-08-26   159949     恒生ETF           卖出       4.9180                613         3014.71          770.91
2020-08-26   159915     创业板ETF          卖出       3.3277               1376         4578.88         1395.64
2020-08-26   516160     新能源ETF          买入       2.0404               1017         2075.13 -
2020-09-02   159949     恒生ETF           卖出       4.9562                612         3033.21          793.07
2020-09-02   159915     创业板ETF          买入       3.2175               1587         5106.12 -
2020-09-02   516160     新能源ETF          买入       1.9937               1291         2573.84 -
2020-09-09   159949     恒生ETF           卖出       5.4831               3558        19508.99         6485.44
2020-09-09   159915     创业板ETF          买入       3.0507               3147         9600.48 -
2020-09-09   516160     新能源ETF          买入       1.7966             101679       182672.96 -
2020-09-16   159949     恒生ETF           卖出       5.6718               1447         8207.05         2910.52
2020-09-16   159915     创业板ETF          买入       2.9354               1738         5101.71 -
2020-09-16   516160     新能源ETF          买入       1.6900               5176         8747.21 -
2020-09-23   159949     恒生ETF           卖出       5.8416                522         3049.34         1138.63
2020-09-23   159915     创业板ETF          卖出       3.0071                876         2634.20          542.76
2020-09-23   516160     新能源ETF          卖出       1.7148                426          730.52          -32.62
2020-09-30   159949     恒生ETF           卖出       6.4580               1706        11017.42         4772.86
2020-09-30   159915     创业板ETF          卖出       3.2247               1701         5485.26         1424.14
2020-09-30   516160     新能源ETF          卖出       1.8468               3255         6011.45          180.44
2020-10-07   159949     恒生ETF           卖出       6.5030                596         3875.80         1694.22
2020-10-07   159915     创业板ETF          卖出       3.2091                563         1806.72          462.56
2020-10-07   516160     新能源ETF          买入       1.6986               7676        13038.65 -
2020-10-14   159949     恒生ETF           卖出       6.6459                173         1149.73          516.49
2020-10-14   159915     创业板ETF          卖出       3.3345               1395         4651.62         1321.07
2020-10-14   516160     新能源ETF          卖出       1.7446               1440         2512.25          -58.11
2020-10-21   159949     恒生ETF           买入       6.6713                 10           66.71 -
2020-10-21   159915     创业板ETF          买入       3.2612               1626         5302.75 -
2020-10-21   516160     新能源ETF          卖出       1.8084               3624         6553.54           84.79
2020-10-28   159949     恒生ETF           买入       6.4878               1011         6559.17 -
2020-10-28   159915     创业板ETF          卖出       3.3039                477         1575.96          426.26
2020-10-28   516160     新能源ETF          卖出       1.9058               4674         8907.91          564.93
2020-11-04   159949     恒生ETF           买入       6.3969                401         2565.14 -
2020-11-04   159915     创业板ETF          买入       3.2596                935         3047.77 -
2020-11-04   516160     新能源ETF          卖出       1.9581               2742         5368.97          474.57
2020-11-11   159949     恒生ETF           买入       6.1787                338         2088.40 -
2020-11-11   159915     创业板ETF          买入       3.0453               2871         8743.06 -
2020-11-11   516160     新能源ETF          买入       1.9003                847         1609.60 -
2020-11-18   159949     恒生ETF           买入       5.9897               1097         6570.72 -
2020-11-18   159915     创业板ETF          买入       3.0074               1153         3467.56 -
2020-11-18   516160     新能源ETF          卖出       2.0329               6201        12606.08         1531.33
2020-11-25   159949     恒生ETF           卖出       6.0889                421         2563.43          922.18
2020-11-25   159915     创业板ETF          卖出       3.2171               4183        13457.18         3168.13
2020-11-25   516160     新能源ETF          买入       1.9015               7102        13504.42 -
2020-12-02   159949     恒生ETF           买入       6.1507                 26          159.92 -
2020-12-02   159915     创业板ETF          卖出       3.2937                905         2980.77          754.72
2020-12-02   516160     新能源ETF          卖出       1.9350               1043         2018.18          146.88
2020-12-09   159949     恒生ETF           卖出       6.7909               2903        19714.00         8391.23
2020-12-09   159915     创业板ETF          买入       3.1238               3583        11192.74 -
2020-12-09   516160     新能源ETF          买入       1.8632               4174         7776.93 -
2020-12-16   159949     恒生ETF           卖出       7.2192                916         6612.83         3040.10
2020-12-16   159915     创业板ETF          卖出       3.3124               2119         7018.89         1729.56
2020-12-16   516160     新能源ETF          卖出       1.9258                764         1471.32           98.46
2020-12-23   159949     恒生ETF           卖出       8.0207               1837        14733.98         7569.01
2020-12-23   159915     创业板ETF          买入       3.2504               3589        11665.59 -
2020-12-23   516160     新能源ETF          卖出       2.1514               7541        16223.64         2672.86
2020-12-30   159949     恒生ETF           卖出       9.1749               2472        22680.38        13038.67
2020-12-30   159915     创业板ETF          买入       3.1995               3151        10081.76 -
2020-12-30   516160     新能源ETF          卖出       2.2707               2218         5036.33         1050.70
2021-01-06   159949     恒生ETF           买入       8.4747               1707        14466.33 -
2021-01-06   159915     创业板ETF          买入       3.1625                236          746.35 -
2021-01-06   516160     新能源ETF          卖出       2.3639               4391        10379.86         2489.46
2021-01-13   159949     恒生ETF           买入       8.3076                365         3032.26 -
2021-01-13   159915     创业板ETF          买入       3.1306                361         1130.16 -
2021-01-13   516160     新能源ETF          卖出       2.3665                536         1268.44          305.27
2021-01-20   159949     恒生ETF           买入       7.9518                785         6242.14 -
2021-01-20   159915     创业板ETF          卖出       3.1477               1379         4340.63          794.67
2021-01-20   516160     新能源ETF          买入       2.2823               2302         5253.81 -
2021-01-27   159949     恒生ETF           买入       7.9843                707         5644.88 -
2021-01-27   159915     创业板ETF          卖出       3.3278               1646         5477.51         1244.98
2021-01-27   516160     新能源ETF          卖出       2.5572               7273        18598.60         5439.21
2021-02-03   159949     恒生ETF           卖出       8.3526                469         3917.35         1809.71
2021-02-03   159915     创业板ETF          卖出       3.4500                484         1669.82          425.26
2021-02-03   516160     新能源ETF          卖出       2.7749               4261        11823.94         4114.31
2021-02-10   159949     恒生ETF           卖出       9.1161               1960        17867.59         9059.55
2021-02-10   159915     创业板ETF          买入       3.1551               6995        22069.65 -
2021-02-10   516160     新能源ETF          卖出       2.9114               3092         9002.20         3407.69
2021-02-17   159949     恒生ETF           买入       9.0674                562         5095.88 -
2021-02-17   159915     创业板ETF          卖出       3.2420                957         3102.60          589.00
2021-02-17   516160     新能源ETF          卖出       3.1186               3867        12059.77         5063.03
2021-02-24   159949     恒生ETF           卖出       9.3027                782         7274.67         3677.46
2021-02-24   159915     创业板ETF          买入       3.1371               2201         6904.69 -
2021-02-24   516160     新能源ETF          买入       3.0581               1182         3614.70 -
2021-03-03   159949     恒生ETF           卖出       9.9705               1037        10339.46         5569.24
2021-03-03   159915     创业板ETF          卖出       3.4008               4288        14582.79         3256.19
2021-03-03   516160     新能源ETF          买入       2.9984               3258         9768.82 -
2021-03-10   159949     恒生ETF           卖出       10.1613               537         5456.60         2986.39
2021-03-10   159915     创业板ETF          买入       3.2686               2629         8593.07 -
2021-03-10   516160     新能源ETF          买入       2.9799                 69          205.61 -
2021-03-17   159949     恒生ETF           买入       10.0244               177         1774.31 -
2021-03-17   159915     创业板ETF          卖出       3.2462                189          613.52          110.05
2021-03-17   516160     新能源ETF          买入       2.9112               1216         3540.06 -
2021-03-24   159949     恒生ETF           卖出       10.2695               537         5514.73         3021.14
2021-03-24   159915     创业板ETF          买入       3.2551                 49          159.50 -
2021-03-24   516160     新能源ETF          买入       2.8578               1560         4458.14 -
2021-03-31   159949     恒生ETF           买入       10.1625               887         9014.12 -
2021-03-31   159915     创业板ETF          卖出       3.5146               3632        12764.96         3088.40
2021-03-31   516160     新能源ETF          卖出       3.1120               4538        14122.42         5428.07
2021-04-07   159949     恒生ETF           买入       9.6025                833         7998.85 -
2021-04-07   159915     创业板ETF          买入       3.3882               1300         4404.72 -
2021-04-07   516160     新能源ETF          买入       3.0494                161          490.96 -
2021-04-14   159949     恒生ETF           卖出       9.2883                201         1866.95          855.48
2021-04-14   159915     创业板ETF          买入       3.0573               4611        14097.09 -
2021-04-14   516160     新能源ETF          买入       2.7591               4611        12722.30 -
2021-04-21   159949     恒生ETF           卖出       9.7889               1201        11756.42         5712.76
2021-04-21   159915     创业板ETF          买入       3.0229                779         2354.81 -
2021-04-21   516160     新能源ETF          买入       2.6288               3830        10068.49 -
2021-04-28   159949     恒生ETF           买入       9.7050                187         1814.84 -
2021-04-28   159915     创业板ETF          卖出       3.0723               1532         4706.70          564.37
2021-04-28   516160     新能源ETF          买入       2.5742               1590         4093.01 -
2021-05-05   159949     恒生ETF           卖出       10.1028               298         3010.63         1499.21
2021-05-05   159915     创业板ETF          卖出       3.2918               2981         9812.77         1752.52
2021-05-05   516160     新能源ETF          卖出       2.6992               1751         4726.28         1209.01
2021-05-12   159949     恒生ETF           卖出       10.2882               347         3570.02         1810.07
2021-05-12   159915     创业板ETF          买入       3.2911                309         1016.95 -
2021-05-12   516160     新能源ETF          买入       2.6955                452         1218.37 -
2021-05-19   159949     恒生ETF           买入       9.8182                965         9474.53 -
2021-05-19   159915     创业板ETF          买入       3.1319               3332        10435.42 -
2021-05-19   516160     新能源ETF          卖出       2.8825               5908        17029.61         5140.05
2021-05-26   159949     恒生ETF           买入       9.9482                162         1611.62 -
2021-05-26   159915     创业板ETF          买入       3.1549                999         3151.70 -
2021-05-26   516160     新能源ETF          卖出       3.1704               5574        17672.01         6454.61
2021-06-02   159949     恒生ETF           买入       9.2379               1286        11879.90 -
2021-06-02   159915     创业板ETF          卖出       3.0937                 69          213.46           25.04
2021-06-02   516160     新能源ETF          买入       3.1183                  5           15.59 -
2021-06-09   159949     恒生ETF           买入       8.3480               2145        17906.47 -
2021-06-09   159915     创业板ETF          卖出       3.3106               6079        20124.99         3524.98
2021-06-09   516160     新能源ETF          买入       2.9118               3953        11510.24 -
2021-06-16   159949     恒生ETF           买入       7.9873                683         5455.31 -
2021-06-16   159915     创业板ETF          卖出       3.3090               1237         4093.24          715.35
2021-06-16   516160     新能源ETF          买入       2.7311               3555         9709.13 -
2021-06-23   159949     恒生ETF           卖出       8.2201                899         7389.85         2163.04
2021-06-23   159915     创业板ETF          买入       3.2526               1082         3519.37 -
2021-06-23   516160     新能源ETF          买入       2.6443               2304         6092.40 -
2021-06-30   159949     恒生ETF           买入       7.7808                656         5104.23 -
2021-06-30   159915     创业板ETF          卖出       3.1452                  6           18.87            2.44
2021-06-30   516160     新能源ETF          买入       2.3935               5738        13733.62 -
2021-07-07   159949     恒生ETF           卖出       8.1557                611         4983.13         1400.86
2021-07-07   159915     创业板ETF          卖出       3.4056               3697        12590.47         2465.35
2021-07-07   516160     新能源ETF          买入       2.4276               1003         2434.86 -
2021-07-14   159949     恒生ETF           卖出       8.7712               1554        13630.47         4519.43
2021-07-14   159915     创业板ETF          买入       3.3625               1703         5726.26 -
2021-07-14   516160     新能源ETF          买入       2.4352                650         1582.90 -
2021-07-21   159949     恒生ETF           买入       7.8806               2367        18653.42 -
2021-07-21   159915     创业板ETF          卖出       3.5733               5161        18442.05         4227.23
2021-07-21   516160     新能源ETF          买入       2.2936               4026         9233.89 -
2021-07-28   159949     恒生ETF           买入       7.4560               1322         9856.87 -
2021-07-28   159915     创业板ETF          买入       3.4565               1821         6294.36 -
2021-07-28   516160     新能源ETF          卖出       2.4038               5044        12124.93         1346.05
2021-08-04   159949     恒生ETF           卖出       7.9585               1160         9231.91         2144.62
2021-08-04   159915     创业板ETF          卖出       3.6938               2779        10265.09         2556.31
2021-08-04   516160     新能源ETF          买入       2.4156               1938         4681.51 -
2021-08-11   159949     恒生ETF           卖出       8.0237                667         5351.80         1276.61
2021-08-11   159915     创业板ETF          买入       3.3791               4775        16135.09 -
2021-08-11   516160     新能源ETF          卖出       2.3752                200          475.04           46.44
2021-08-18   159949     恒生ETF           买入       7.6237                661         5039.30 -
2021-08-18   159915     创业板ETF          卖出       3.4723               3729        12948.19         2443.41
2021-08-18   516160     新能源ETF          买入       2.0416              11970        24438.11 -
2021-08-25   159949     恒生ETF           买入       7.1371                850         6066.52 -
2021-08-25   159915     创业板ETF          买入       3.2679               1797         5872.48 -
2021-08-25   516160     新能源ETF          买入       1.8836             106442       200492.46 -
2021-09-01   159949     恒生ETF           买入       6.6102               1828        12083.39 -
2021-09-01   159915     创业板ETF          卖出       3.4193               3776        12911.32         2227.13
2021-09-01   516160     新能源ETF          买入       1.7887               4252         7605.68 -
2021-09-08   159949     恒生ETF           买入       6.4077               1967        12603.97 -
2021-09-08   159915     创业板ETF          卖出       3.7989               4239        16103.67         4109.43
2021-09-08   516160     新能源ETF          卖出       1.9858               7777        15443.28          822.98
2021-09-15   159949     恒生ETF           卖出       6.4544                431         2781.83          102.17
2021-09-15   159915     创业板ETF          卖出       3.7929                172          652.38          165.70
2021-09-15   516160     新能源ETF          买入       1.9220               3136         6027.49 -
2021-09-22   159949     恒生ETF           买入       6.0489               1684        10186.33 -
2021-09-22   159915     创业板ETF          买入       3.7334                226          843.74 -
2021-09-22   516160     新能源ETF          卖出       1.9219               1659         3188.40           67.52
2021-09-29   159949     恒生ETF           卖出       6.0438                140          846.13          -23.08
2021-09-29   159915     创业板ETF          卖出       3.8507               2026         7801.42         2061.61
2021-09-29   516160     新能源ETF          买入       1.8196               5738        10440.76 -
2021-10-06   159949     恒生ETF           买入       6.0802                225         1368.04 -
2021-10-06   159915     创业板ETF          卖出       4.0938               2703        11065.59         3407.79
2021-10-06   516160     新能源ETF          买入       1.8077               1944         3514.17 -
2021-10-13   159949     恒生ETF           买入       5.5667              34993       194795.97 -
2021-10-13   159915     创业板ETF          买入       4.0132                 66          264.87 -
2021-10-13   516160     新能源ETF          买入       1.7636                457          805.97 -
2021-10-20   159949     恒生ETF           买入       5.5649                877         4880.42 -
2021-10-20   159915     创业板ETF          卖出       4.4412               3980        17675.91         6394.37
2021-10-20   516160     新能源ETF          卖出       1.8137                623         1129.93          -39.00
2021-10-27   159949     恒生ETF           买入       5.2583               1378         7245.89 -
2021-10-27   159915     创业板ETF          卖出       4.5028               1563         7037.86         2607.45
2021-10-27   516160     新能源ETF          买入       1.6764             119032       199547.74 -
2021-11-03   159949     恒生ETF           买入       5.0004              38578       192905.27 -
2021-11-03   159915     创业板ETF          买入       4.4253                194          858.51 -
2021-11-03   516160     新能源ETF          买入       1.6241               1981         3217.31 -
2021-11-10   159949     恒生ETF           卖出       5.4458               3364        18319.67         1498.34
2021-11-10   159915     创业板ETF          买入       4.2167               2138         9015.30 -
2021-11-10   516160     新能源ETF          买入       1.5151             129210       195766.81 -
2021-11-17   159949     恒生ETF           买入       5.4127                631         3415.42 -
2021-11-17   159915     创业板ETF          买入       4.1939                750         3145.43 -
2021-11-17   516160     新能源ETF          卖出       1.6206               7480        12122.33          789.34
2021-11-24   159949     恒生ETF           卖出       5.6136               1070         6006.51          648.32
2021-11-24   159915     创业板ETF          买入       4.0051               2784        11150.10 -
2021-11-24   516160     新能源ETF          卖出       1.7130               5628         9640.97         1113.96
2021-12-01   159949     恒生ETF           卖出       5.7969               1220         7072.24          962.90
2021-12-01   159915     创业板ETF          买入       3.6444               5018        18287.46 -
2021-12-01   516160     新能源ETF          卖出       1.7863               5160         9217.32         1399.37
2021-12-08   159949     恒生ETF           卖出       5.7617                279         1607.53          210.39
2021-12-08   159915     创业板ETF          买入       3.5651                437         1557.96 -
2021-12-08   516160     新能源ETF          买入       1.6921               4725         7995.23 -
2021-12-15   159949     恒生ETF           买入       5.7514                201         1156.03 -
2021-12-15   159915     创业板ETF          买入       3.4654               1811         6275.86 -
2021-12-15   516160     新能源ETF          卖出       1.7675               4904         8667.77         1202.23
2021-12-22   159949     恒生ETF           买入       5.2516               2217        11642.77 -
2021-12-22   159915     创业板ETF          卖出       3.4110                771         2629.89          276.70
2021-12-22   516160     新能源ETF          买入       1.6748               3272         5479.85 -
2021-12-29   159949     恒生ETF           卖出       5.2974                203         1075.37           54.89
2021-12-29   159915     创业板ETF          买入       3.3472               1551         5191.50 -
2021-12-29   516160     新能源ETF          卖出       1.7391               3894         6772.13          827.12
2022-01-05   159949     恒生ETF           买入       5.0568                797         4030.31 -
2022-01-05   159915     创业板ETF          买入       3.1568               1998         6307.27 -
2022-01-05   516160     新能源ETF          买入       1.6651               2137         3558.42 -
2022-01-12   159949     恒生ETF           买入       4.7905               2186        10472.00 -
2022-01-12   159915     创业板ETF          买入       3.1286                846         2646.76 -
2022-01-12   516160     新能源ETF          卖出       1.8063               8524        15396.57         2360.43
2022-01-19   159949     恒生ETF           买入       4.7552                569         2705.73 -
2022-01-19   159915     创业板ETF          卖出       3.1807                710         2258.26           83.09
2022-01-19   516160     新能源ETF          卖出       1.8610               2314         4306.30          767.39
2022-01-26   159949     恒生ETF           买入       4.5733              40184       183772.88 -
2022-01-26   159915     创业板ETF          买入       3.1004               1101         3413.55 -
2022-01-26   516160     新能源ETF          卖出       1.8649               1244         2320.00          417.49
2022-02-02   159949     恒生ETF           买入       4.3113               1954         8424.28 -
2022-02-02   159915     创业板ETF          卖出       3.2466               3705        12028.56          675.51
2022-02-02   516160     新能源ETF          买入       1.7533               5373         9420.28 -
2022-02-09   159949     恒生ETF           卖出       4.4057               1258         5542.32         -195.59
2022-02-09   159915     创业板ETF          买入       3.0956               2647         8194.03 -
2022-02-09   516160     新能源ETF          买入       1.7341                453          785.56 -
2022-02-16   159949     恒生ETF           买入       4.1235              42612       175711.59 -
2022-02-16   159915     创业板ETF          卖出       3.0514                893         2724.89          -12.66
2022-02-16   516160     新能源ETF          买入       1.6025               5691         9119.74 -
2022-02-23   159949     恒生ETF           买入       3.8279              45253       173222.74 -
2022-02-23   159915     创业板ETF          卖出       3.2274               4219        13616.42          682.80
2022-02-23   516160     新能源ETF          买入       1.5270               3866         5903.28 -
2022-03-02   159949     恒生ETF           卖出       3.8279                767         2936.03            0.05
2022-03-02   159915     创业板ETF          卖出       3.2591               1423         4637.69          275.39
2022-03-02   516160     新能源ETF          买入       1.3760             126333       173837.66 -
2022-03-09   159949     恒生ETF           卖出       4.1802               2524        10550.71          889.16
2022-03-09   159915     创业板ETF          卖出       3.3623                 88          295.89           26.12
2022-03-09   516160     新能源ETF          卖出       1.4473               2855         4131.99          203.44
2022-03-16   159949     恒生ETF           买入       3.8143               3875        14780.51 -
2022-03-16   159915     创业板ETF          卖出       3.5744               3622        12946.37         1842.89
2022-03-16   516160     新能源ETF          买入       1.4363                546          784.20 -
2022-03-23   159949     恒生ETF           卖出       4.0674               2690        10941.20          647.31
2022-03-23   159915     创业板ETF          买入       3.5529                729         2590.06 -
2022-03-23   516160     新能源ETF          买入       1.4003               3913         5479.44 -
2022-03-30   159949     恒生ETF           买入       4.0275               1391         5602.24 -
2022-03-30   159915     创业板ETF          卖出       3.6217                 66          239.03           36.26
2022-03-30   516160     新能源ETF          卖出       1.5463               9982        15434.86         1689.37
2022-04-06   159949     恒生ETF           买入       3.5157              49340       173466.93 -
2022-04-06   159915     创业板ETF          买入       3.4808                437         1521.11 -
2022-04-06   516160     新能源ETF          卖出       1.5086               1039         1567.44          136.71
2022-04-13   159949     恒生ETF           卖出       3.6549                859         3139.59          119.56
2022-04-13   159915     创业板ETF          买入       3.5014                942         3298.34 -
2022-04-13   516160     新能源ETF          卖出       1.6478               7358        12124.39         1992.22
2022-04-20   159949     恒生ETF           买入       3.6870                177          652.60 -
2022-04-20   159915     创业板ETF          卖出       3.7254               2860        10654.68         1837.75
2022-04-20   516160     新能源ETF          买入       1.6254               2892         4700.77 -
2022-04-27   159949     恒生ETF           买入       3.5807               1771         6341.46 -
2022-04-27   159915     创业板ETF          买入       3.7244                457         1702.04 -
2022-04-27   516160     新能源ETF          卖出       1.7339               6557        11368.93         2297.87
2022-05-04   159949     恒生ETF           买入       3.4060               2333         7946.09 -
2022-05-04   159915     创业板ETF          卖出       3.8188               1642         6270.52         1199.31
2022-05-04   516160     新能源ETF          买入       1.7217                452          778.19 -
2022-05-11   159949     恒生ETF           买入       3.2996               1429         4715.06 -
2022-05-11   159915     创业板ETF          卖出       3.9739               2226         8845.92         1971.06
2022-05-11   516160     新能源ETF          买入       1.6500               4064         6705.47 -
2022-05-18   159949     恒生ETF           买入       3.2054              56491       181077.65 -
2022-05-18   159915     创业板ETF          买入       3.9436               1093         4310.35 -
2022-05-18   516160     新能源ETF          卖出       1.8233               9424        17182.31         4039.48
2022-05-25   159949     恒生ETF           买入       3.0143               3862        11641.35 -
2022-05-25   159915     创业板ETF          卖出       4.0430               1090         4406.83         1019.91
2022-05-25   516160     新能源ETF          卖出       1.9291               5095         9828.64         2723.09
